841.1764705882,-0.6298274253,1000,700,-0.8234723105,1,1
900,0,900,900,0,1,1
1205.3044416117,0.8460914359,1700,900,0.6026120689,2,1.317135102
1975,-1.3823651905,2000,1900,0.4146378933,1,1.0131332083
1159.6899224806,0.7297687055,1600,900,-0.0349136287,7,1.2
2156.3814866761,-2.1427712154,2300,1769.29510155,5.7850934949,2,1.2999527314
2479.4871794872,-0.3096131723,2700,2200,-1.7487167597,2,1.1232665639
1336.0465116279,0.0640884547,1800,1000,-1.2143038902,2,1.0909090909
1623.8095238095,1.3205007979,1700,1600,-0.1471145376,2,1.0625
1970,-0.3635454977,2100,1800,-1.0488919903,3,1.1052631579
2479.8547787906,-1.4814653383,2800,1810.71428571,2.5732006742,2,1.325443787
2563.6363636364,-0.0396486613,2800,2300,-0.2691354255,3,1.0649038462
2160.3494623658,-0.2913258981,2300,1900,-0.963924382,3,1.070867132
2370,-1.035098339,2400,2300,-1.2244897959,1,1.0434782609
1372.963131543,0.6361816777,2000,1100,0.0243785379,10,1.25
3453.7247145303,0.5008691292,6400,1600,-0.9606221727,5,1.7965439519
1160.5263157895,-0.4679521348,1200,1100,-1.9243855619,2,1.0909090909
1163.6511375948,0.7384131594,1500,1000,-1.1264657434,3,1.1666666667
2016.1556603774,-0.7886944944,2500,1300,-0.9152751509,5,1.0914487633
1460.0113122172,-1.1794496944,1600,1300,0.230205374,4,1.1417926803
2504.093215812,0.6983922599,3200,2100,-1.1013881002,3,1.1593070652
2495.967741935,0.6145965052,2800,2300,-1.0298442671,1,0.9691358025
1689.7993311037,1.5293950151,2000,1600,1.7686460972,2,1.1176470588
3620.1183431954,-1.2424498467,3800,3200,1.5318459863,1,1.1152065527
5996.8255014438,-0.770299088,7000,4500,-0.1601124092,2,1.3142088028
6030.8785175015,0.4902083709,7000,5300,-1.5239129786,2,1.1954459203
5600.9318629766,-0.3638352825,8000,3000,-0.7865799569,5,1.1594202899
2534.375,2.2824879832,3000,2400,4.5970448673,2,1.0416666667
2322.3776223776,0.7177699517,2900,2100,-0.2295301087,2,1.1567045455
3351.4506769827,0.8977156227,3800,3100,0.2218376098,1,1.1515151515
3164.0806561859,0.6099119477,3600,2800,0.4156889401,4,1.1666666667
3340,-0.6506324597,3400,3200,0.020321056,2,1.0625
3047.7760332541,0.0251448586,3400,2700,-1.2633716459,11,1.1034482759
3352.7233115471,0.6418208026,3500,3196.2962963,-0.7497356731,2,1.0606060606
