cid,n,Name,long,lat
3,14,AHMEDABAD,72.57136209999999,23.022505
10,23,BHUBANESHWAR,85.8245398,20.2960587
16,5,DELHI,77.20902120000001,28.6139391
37,6,KOLKATA,88.363895,22.572646
40,17,LUCKNOW,80.946166,26.846693699999996
50,26,PATNA,85.14399999999999,25.611
