start	end
06/02/2007	27/02/2007
20/08/2007	16/10/2007
04/11/2007	27/11/2007
28/11/2008	11/01/2009
03/02/2009	04/02/2009
11/03/2009	16/03/2009
03/10/2009	18/10/2009
10/11/2009	16/11/2009
15/12/2009	19/12/2009
10/02/2010	19/02/2010
05/09/2010	16/09/2010
12/02/2011	07/03/2011
19/08/2011	23/08/2011
24/11/2011	16/12/2011
01/11/2012	03/12/2012
02/01/2013	03/01/2013
13/04/2013	15/06/2013
15/03/2014	04/06/2014
