20,3,3,4,36.24,4.2,45,212,112,3,17.3
20,3,3,4,36.24,4.2,50,212,112,3,26.5
20,2.5,2,4,34.35,5.5635416667,53.3035714286,666,112,3,27.4791260504
20,3,5,4,16.83,7.5,55,513,112,3,28.5
20,3,5,4,25,10.5,50,743,112,8.2,51.5
20,2.5,8.125,4,62.35,4.8,40,818.3816012897,112,0.6,35.1
20.332361516,3,15,4,88.15,5.6037037037,45,894.572637041,112,1,18.7
21.1895043732,3,21.875,4,103.2,7.0962962963,48,971.3630889608,112,1.2185810811,96.9
22.361516035,3,25,4,71.41,7.9,50,1048.5429387559,112,1.5,64.2
23.638483965,2.5,13,4,84.44,5,44,1125.9021681331,112,5,96.2
24.8104956268,2.65625,7,4,107.65,4.1,38,1203.2307587991,112,9.4,19.9
25.667638484,3,4,4,75.66,8.9,40,1280.3186924608,112,6.4,44.4
26,4,6,4,33.89,11.1,45,1356.955950825,112,2,39.4
25.889212828,4.5,7.3391812865,4,13.59,9.396875,43,1432.9325155985,112,8,43.2
25.6034985423,3.9814814815,8.5029239766,4,81.52,5.65,40,1508.0383684881,112,4.7,83.2
25.2128279883,3.0185185185,9,4,51.97,1.903125,35,1582.0634912006,112,1.4,58
24.7871720117,2.5,7.0625,4,130.56,0.2,36.6,1654.7978654427,112,4,58.2
24.3965014577,3,4,4,54.33,8.3,40,1726.0314729214,112,2.4,57.1
24.110787172,3,2,4,68.7,9.5,48,1795.5542953434,112,3,41.6
24,2,8,4,79.06,4.4,50,1863.1563144155,112,1.5,128.6
24.332361516,2.5,2,4,97.29,5.4794238683,35,1928.6275118445,112,2.8,70.8
25.1895043732,2.8303571429,5.5,4,51.94,7.5144032922,40,1991.7578693372,112,3.3644323905,133.5
26.361516035,3,9,4,85.77,8.7,30,2052.3373686004,112,4,21.3
27.638483965,2.5,1,4,93.89,8.8574331276,27.8973214286,2110.155991341,112,7,31
28.8104956268,3,1.7777777778,4,89.16,9.0100823045,27,2165.0037192657,112,4.5641304348,42
29.667638484,3,3.2222222222,4,51.8535954387,9.15625,28.078125,2216.6705340813,112,1.6,4
30,3,4,4,19.1,9.2942386831,30,2264.9464174946,112,1,93.5
29.833819242,4,3.7407407407,4,116.79,9.422350823,32,2309.6213512125,112,3.0222222222,3.5
29.4052478134,3.6607142857,3.2592592593,4,7,9.5388888889,35,2350.4853169417,112,6.7777777778,133.6
28.8192419825,3,3,4,159.12,9.6421553498,38,2387.328296389,112,8.8,64.8
28.1807580175,2,9,4,101.99,9.7304526749,40,2419.9402712613,112,2,58.8
27.5947521866,2.5,9,4,103.43,9.8020833333,45,2448.1112232654,112,5.1,94.9
27.166180758,3,9,4,104.87,9.8553497942,45,2471.631134108,112,8.2,104.6
27,2,8,4,56.99,9.8885545267,40,2490.289985496,112,7.4928,47.9
27.0898489266,3,6,4,38.2,9.9,30,2503.8777591361,112,5.8064,64.2
27.3403127485,3.6607142857,12,4,8.81,8.6037037037,35,2512.1844367352,112,3.7936,45
27.7227670289,4,18,4,131.76,6.1962962963,30,2515,112,2.1072,70.4
28.208587331,3,4,4,41.83,4.9,27,270,112,1.4,35.9
28.7691492181,2.5,13,4,143.82,12,33,1300,112,4,80.5
29.3758282534,3,12,4,71.76,17,28,1180,112,1.2,26.9
30,2.5,7,4,101.69,4.1,39,1663,112,10.6,51.5
30.8451630003,3,3,4,131.62,3.2926886792,34,2737,112,5.2,41.3
32.0355155049,3.5,8,4,81.3,2.6240566038,28,1391,112,2.5057142857,13.2
33.4234826398,4,13,4,18.37,2.1683962264,30,45,112,1.2,25
34.8614895309,3.5,8,4,21.33,2,40,384.6296296296,112,1.2,69.5
36.201961304,2,8,4,33.1795613963,5.2,36,1015.3703703704,112,1.2,88.7
37.2973230851,3.5,6.4444444444,4,53.75,3.5,40,1355,112,13.6,59.2
38,3,3.5555555556,4,100.71,8.2,40,1226,112,5.6,16.3
38.4466472303,4,2,4,19.3,8.1184823441,45,108,112,7.5703703704,45.2
38.8629737609,2.5,4.4903846154,4,65.15,7.8949661908,40,184.166180758,112,11.2296296296,8.6
39.2349854227,3,9,4,21.01,7.5610067618,43,380.5947521866,112,13.2,129.1
39.5486880466,2.5,14,4,135.22,7.1481592787,45,649.1807580175,112,11.5954081633,43.4
39.7900874636,2.3550967742,15,4,69.02,6.6879789632,40,941.8192419825,112,8.2,33.6
39.9451895044,2.219483871,8,4,2.82,6.2120210368,45,1210.4052478134,112,0.4,128.6
40,2.1063225806,4.625,4,128.91,5.7518407213,29,1406.833819242,112,0.4,86.9
39.6874635569,2.0287741935,3,4,112.71,5.3389932382,33,1483,112,12,120.5
38.8493683188,2,6.6890243902,4,70.98,5.0050338092,35,1269,112,12.2018007203,83.4
37.6349854227,3,14,4,58.09,4.7815176559,40,1055,112,12.4,65.2
36.1935860058,2.5,26,4,224.51,4.7,45,1481.8499256269,112,17,24.6
34.6744412051,2.75,16.5,4,172.607868619,4.7,28,1994,112,14.8130455408,102.8
33.2268221574,3,7,4,113.78,4.7,25,2089,112,10.4,21.6
32,2.5,36,4,106.63,4.7,35,1112,112,2.5,69.2
30.8285714286,2,14,4,61.4253308986,4.7,28,1874,112,18,32.5
29.5238095238,2.5,4,4,22.85,4.7,26.5961538462,1722.6701778121,112,11.5,21.6
28.2,2,6,4,28.18,4.7,26,1376,112,5,13.1
26.9714285714,2.5,8,4,11.2,4.7,37,23,112,10,78.8
25.9523809524,3,4,4,99.7,14.2,25,2650,112,9.7784391534,78
25.2571428571,2.5,7,4,24.85,10.2,20,1422,112,9.1798941799,72.5
25,3,30,4,74.8,10.3002155172,17,2046,112,8.3035714286,93.8
26.4,2.5,6,4,99.2970583651,10.5672413793,21.5294117647,387,112,7.2486772487,116.9
30.2,3,9,4,111.13,10.9506465517,28,909.4074074074,112,6.1144179894,12.5
35.8,3,31,4,70.94,11.4,31.2205882353,1879.5925925926,112,5,104.2
42.6,2,18,4,155.08,13.0163793103,34,2402,112,3,51.6
50,2.5,21.6296296296,4,129.538374525,14.4,37.75,1260.5,112,3.3392857143,8.8
57.4,3,28.3703703704,4,77.7567490501,14.1333333333,40,119,112,4,112.2
64.2,2.5,32,4,37,13.4666666667,37,1140,112,5,29.3
69.8,3,7,4,22.63,12.6,30,1033.7037037037,112,4,18.7
73.6,2.5,7.8446601942,4,37.29,11.7333333333,27.1610524552,836.2962962963,112,4.2,79.9
75,2,10,4,59.53,11.0666666667,24.9203955086,730,112,4.4,67.1
5,3.5,50,4,41.58,10.8,23,1574,112,1.5,138.2
55,3,12,4,104.4,10.909375,21.4586397059,785,112,1.1447580645,92.5
9,4,9,4,167.22,11.15,20,3075,112,1,45.7
11,3,14,4,18.19,11.390625,18,1001,112,1,9.9
15,3.5,2,4,13.25,11.5,25,120,112,3,11.5
11.8125,3,3.037037037,4,8.45,11.192,26.048582996,605,112,3.6875,31.8
7.5,3,4.962962963,4,28.32,10.356,27,1090,112,4,24.4
6,3,6,4,54.2,9.124,30,1029,112,3.8553240741,50.5
15,3,4.5,4,14.72,7.628,30,879,112,3.4884259259,31.7
7,3,3,4,189.61,6,29,2197,112,3,80.2
8,2.5,10,4,14.38,4.372,28,1010,112,0.8,83
6,2.5,9.5420258621,4,84.14,2.876,35,2228,112,3.409375,45.7
6.3392857143,2.5,8.3620689655,4,153.9,1.644,38,2035.8538697216,112,9.15,25.2788636364
7,3,6.7510775862,4,1.4,0.808,41.75,1612,112,14.890625,15.2
8,4,5,4,21.2,0.5,44,357,112,17.5,78.7
12.5,2.5,1,4,52.6,16.6,38,1248,112,1,22.8
7.5,2.6666666667,7,4,32.11,14.9984,29.9330357143,1587,112,1.6,13.5353804378
7.1890508685,3,11,4,11.1,11.1792,25,184,112,2.6,9.1
6.9906947891,3.5833333333,1,4,11.7833958729,6.6208,27.1400082237,179,112,3.7524706714,8.3
6.7969913151,4,3.625,4,13.54,2.8016,31.8733552632,589.0300403226,112,5.0665215548,43.8
6.5,2,7,4,55.79,1.2,36.6700246711,1324,112,6.4755208481,48.5
4.5,3,7.9477848101,4,85.36,2.50625,39,2106,112,7.9128367491,79.3
8,2.5,9,4,83.61,5.95,39.2414838116,1960.1533322602,112,9.3118374558,42.1
11.5,4,24,4,176.54,10.81875,39.4567093755,1727,112,10.6058911661,93.9
6,2.5,14,4,31.19,16.4,39.6417063066,1568,112,11.7283660777,87
2,3,18.5,4,67.21,21.98125,39.7925042197,806,112,12.6126303887,30.5
2.6785714286,4,23,4,96.18,26.85,39.9051327298,1751.5,112,13.1920522968,51.4
4,4,11,4,164.75,30.29375,39.9756214516,2697,112,13.4,63.2
6,4,20,4,158.18,31.6,40,1923,112,6,100.7
4.5,3,13,4,91.9,1,40,2034,112,13.6,84.4
5,4,15,4,185.86,1.0274912618,28,1641,112,1,68.1
3.5,3,8,4,32.85,1.1079802237,28.5909090909,1460.2748490815,112,1,87.2
6,2.5,12,4,22.45,1.2384896508,30,1315.1088264921,112,6,26.2
5.5,3,36,4,22.9,1.4160423081,38,1180.9053793621,112,5.7235294118,47.3
5,2.5,2,4,110.98,1.6376609607,35,1033.0679548214,112,5.2,57
45,3.5,4,4,25.81,1.9003683735,40,847,112,4.5,69.5
5,4,17,4,28.25,2.2011873115,41.8091168091,383,112,8,89.6
4,3,5,4,122.58,2.5371405397,43.1908831909,1675,112,4.8,81
5.5,3.5,9.5,4,48.05,2.9052508232,45,591,112,12,66.4
5.1111111111,4,14,4,55.15,3.302540927,50,510,112,4,68
4.3888888889,3.5,11.6666666667,4,169.49,3.7260336161,60,385.6906596794,112,7.59375,83.5
4,3.75,7.3333333333,4,164.3386717904,4.1727516554,60,307,112,15.5,44.5
6,4,5,4,151.55,4.6397178101,45,1659,112,23.40625,47.8
2.5,3,18,4,25.75,5.123954845,43.2721407064,284,112,27,55.7
4,3,12,4,40.35,5.6224855253,41.6296738836,338.962962963,112,7.5,12.2
5,2.5,11,4,56.45,6.132332616,40.1383644793,441.037037037,112,5.3354981663,45.7
65,3.5,4,4,98.14,6.650518882,38.8639774411,496,112,3.5176650367,47.7
39.4838709677,3.5,1.9237804878,4,41.05,7.1740670883,37.8722777167,299,112,2.2659993888,39.9
9,3,1,4,70.75,7.7,37.2290302538,102,112,1.8,110.4
3.5,4,10,4,3.5,13.8,37,1313,112,2,73.6
5,3,12,4,23.2,13.7830589849,38.2703804348,1051,112,7.4,53
4,4,12,4,120.43,13.7348422497,41.3043478261,1091,112,1,107.2
55,3,12,4,56.9,13.6592592593,44.9361413043,1372,112,3,52.3
4,3,0.8,4,123.4,13.5602194787,48,1371,112,5,152.8
10.9633233533,3,15,4,111.27,13.4416323731,50,755.4386409736,112,5,133.7
25,4,15,4,86.89,13.3074074074,55,141,112,5,30.1
50,5.25,15,4,78.33,13.1614540466,40,1357,112,4,25.6
6,6,11,4,58,13.0076817558,60,876,112,20,77.3
4,6,48,4,155.45,12.85,48,1045,112,1,58.1
3.5,7,2,4,105.5,12.6923182442,40,1403,112,5,102.3
4.5,5,27,4,173.57,12.5385459534,35,1372,112,2.5,97.9278116967
4.75,5,23.9711538462,4,84.75,12.3925925926,28,804.7082450191,112,8.75,88.0491645244
5,4.5,18,4,199.47,12.2583676269,30,270,112,15,77.52093509
6,4,8.0288461538,4,109.7,12.1397805213,27,1992,112,10.5,71.2
4,5,1,4,111.22,12.0407407407,25,1906.41484375,112,4,69.9
3,3,11,4,112.74,11.9651577503,20,1680.78125,112,1,52.3
45,6,12,4,60.45,11.9169410151,24,1361.78203125,112,6,81.4
3.5,7,3,4,59.3,11.9,22,996.1,112,3,84
3.65625,6.7407407407,21,4,96.6,13.43125,25,630.41796875,112,4.85,73.6
4,6.2592592593,13,4,66.9,16.8,20,311.41875,112,6.7,37
5,6,4,4,115.3,20.16875,26,85.78515625,112,2,54.3
2.5,7,12,4,106.4,21.7,24,0.2,112,5,78.8
12.5,6.6875,7,4,78.7364791933,21.5902910645,30,0.7,112,7.2053872054,138.6
7.5,6,2,4,42.7076840411,21.279075921,25,0.3,112,9.1582491582,54.8
5.5,4,3.8413765823,4,24.81,20.7932220639,22,1.2,112,10,61.3
4.7013221154,3,8.4936708861,4,52.4,20.1595969876,20,1.1827354839,112,8.6339285714,58.1
4,5,14.6491297468,4,24.35,19.4050681864,25,1.1362064516,112,7,64.6
3,4,21,4,42.0572405134,18.5565031549,32,1.0683096774,112,6.5196088576,44.3
2.5,4.5,31,4,66.8,17.6407693873,24,0.9869419355,112,6.129730369,66.8
4,4,13,4,76.7,16.6847343782,20,0.9,112,5.8001640847,60.1
2,4.5,3,4,125.74,15.7152656218,20.9765625,0.6,112,5.5007095553,60.1
4.5,3,3,4,78.4,14.7592306127,23.4375,0.8,112,5.2011663316,68
5.5221774194,2.5,5,4,67.53,13.8434968451,26.6796875,0.1,112,4.871333964,72.6
6,3.5,14,4,92.43,12.9949318136,30,0.2,112,4.4810120033,72
2.5,3,48,4,102.63,12.2404030124,35,0.4,112,4,78.9
4,3.5,7,4,96.38,11.6067779361,36.0987654321,1.7,112,2,78.2
50,3.4553571429,16,4,83.93,11.120924079,36.8641975309,0.2,112,1,37.5
6,3.3392857143,6,4,63.1,10.8097089355,38,0.7,112,1.5,60
4,3.1785714286,14,4,98.8,10.7,45,1.7,112,4.5,101
3.6477272727,3,1,4,52.75,13.4,50.6818181818,0.2,112,4.85546875,57
3.5,2.5,1,4,67.2,16.1,55,224,112,5,54.1
5.5,3,23,4,81.65,8,57,0.9,112,4,50.5
4,3,15,4,56.05,8.25,50,0.2,112,2,80.6
3.5,4,3,4,74.61,8.5,45,0.9,112,2.5,74.3
3,3,21,4,87.25,2.2,40,1.6,112,9,68.4
4,3,5,4,92.9,15.3,50,0.4,112,1,134.5
4.34375,3,13,4,107.05,6.2,48,1.3,112,2.5,47.9
4.5,2.5,7,4,41.6,8.9,45,2.2,112,4,65.7
3.5,2.875,3,4,54.7,11.6,42,1.2,112,1.6,76
2,3.5,16,4,41.9,3.8,50,1.2644736842,112,3.8,113.2
1,4,16,4,92.6,0.3,40,1.4,112,6,129
4,3,16,4,74.25,13,30,1.7,112,1,51.9
4.5,3,16,4,69.6188607075,13.6,35,0.1,112,1.069704536,35.5
3.9034090909,3,16,4,65.05,13.6,33,0.5,112,1.2505201831,11.7
3,3,14,4,48.52,11.8,30,0.7019230769,112,1.5,59.8
2.5,2.5,1,4,71.65,2.6,40,0.8,112,3.5,52
3,3,5,4,32.3,3.4,35,0.5875,112,10.6,80.2
45,3,4,4,97.45,3.4,30,0.3,112,6,76.5
2.5,2.5,5,4,114.25,6.8,27,0.2,112,2,58.9
1.5,3,7,4,43.85,12.6,25,0.3875,112,4,60.2
2,3,8,4,87.1,8.9,26,0.8,112,3,97.2
2.5,2.5,9,4,71.7,7.4,24,1.2125,112,2,46.8
1,3,11,4,98.35,7,27,1.4,112,3,136.5
4.5,2.5,24,4,127.75,7.9,22,0.4,112,9,87.5
2.5,3.25,10,4,74.55,6.9,20,0.3,112,1,39.6
4,4,9,4,79.93,8.1,25,0.7,112,2,87.5
2.5,3,10,4.009837963,78.55,4.5,22,0.3,112,2,51.7
2.6507352941,2.5,2,4.037037037,105.81,13.1,20,0.2,112,5,82
3,2,7,4.078125,38.29,13.1,25,0.2,112,8,45.5
4.5,2.5,19,4.1296296296,208.35,7.6,15,1,112,2.5,75.6
2.5,2,6,4.1880787037,50.05,8.6,20,0.4,112,2.5,100.5
2.75,2.5,6,4.25,71.55,8,15,0.9,112,2,86.5
3,3,15,4.3119212963,78.54,7.7,10,0.9,112,1,80.9
2.5,3,2,4.3703703704,110.15,4.4,8,0.6,112,10,46.6
2.7276785714,3,1,4.421875,31.2,10.4,30,1.1,112,13.4204545455,97.3
3,2.5,5,4.462962963,76.05,3.3,33,0.2,112,15,47.9
3.08984375,3,18,4.490162037,39.06,13.5,33,0.3,112,2,90.8
3.1785714286,2,6,4.5,42.4456378436,6.4,25,699,112,3.5,72.5
3.2628348214,3,7,3.5,49.75,3.3,22,0.2,112,1.5,46.1
3.3392857143,2,3,4,68.54,3.5842270293,24,0.4,112,6,94
3.4045758929,2.5,4,3,18.8,4.3496054115,20,0.3,29.2,8,16.9
3.4553571429,2,5,2.5,111.45,5.4651810879,30,0.45,29.2144908757,4.5,27.1
