cid,date,price
10,2006-01-01 00:00:00,9
10,2006-01-02 00:00:00,9
10,2006-01-03 00:00:00,9
10,2006-01-04 00:00:00,9
10,2006-01-05 00:00:00,7
10,2006-01-06 00:00:00,7
10,2006-01-07 00:00:00,7
10,2006-01-08 00:00:00,7
10,2006-01-09 00:00:00,7
10,2006-01-10 00:00:00,7
10,2006-01-11 00:00:00,7
10,2006-01-12 00:00:00,7
10,2006-01-13 00:00:00,7
10,2006-01-14 00:00:00,7
10,2006-01-15 00:00:00,7
10,2006-01-16 00:00:00,7
10,2006-01-17 00:00:00,7
10,2006-01-18 00:00:00,7
10,2006-01-19 00:00:00,7
10,2006-01-20 00:00:00,7
10,2006-01-21 00:00:00,7
10,2006-01-22 00:00:00,7
10,2006-01-23 00:00:00,7
10,2006-01-24 00:00:00,7
10,2006-01-25 00:00:00,7
10,2006-01-26 00:00:00,7
10,2006-01-27 00:00:00,7
10,2006-01-28 00:00:00,7
10,2006-01-29 00:00:00,7
10,2006-01-30 00:00:00,7
10,2006-01-31 00:00:00,6
10,2006-02-01 00:00:00,6
10,2006-02-02 00:00:00,6
10,2006-02-03 00:00:00,6
10,2006-02-04 00:00:00,6
10,2006-02-05 00:00:00,6
10,2006-02-06 00:00:00,6
10,2006-02-07 00:00:00,5
10,2006-02-08 00:00:00,5
10,2006-02-09 00:00:00,5
10,2006-02-10 00:00:00,5
10,2006-02-11 00:00:00,5
10,2006-02-12 00:00:00,5
10,2006-02-13 00:00:00,5
10,2006-02-14 00:00:00,5
10,2006-02-15 00:00:00,5
10,2006-02-16 00:00:00,5
10,2006-02-17 00:00:00,5
10,2006-02-18 00:00:00,5
10,2006-02-19 00:00:00,5
10,2006-02-20 00:00:00,5
10,2006-02-21 00:00:00,5
10,2006-02-22 00:00:00,5
10,2006-02-23 00:00:00,5
10,2006-02-24 00:00:00,5
10,2006-02-25 00:00:00,5
10,2006-02-26 00:00:00,5
10,2006-02-27 00:00:00,5
10,2006-02-28 00:00:00,7
10,2006-03-01 00:00:00,7
10,2006-03-02 00:00:00,7
10,2006-03-03 00:00:00,7
10,2006-03-04 00:00:00,7
10,2006-03-05 00:00:00,7
10,2006-03-06 00:00:00,7
10,2006-03-07 00:00:00,7
10,2006-03-08 00:00:00,7
10,2006-03-09 00:00:00,7
10,2006-03-10 00:00:00,7
10,2006-03-11 00:00:00,6.7407407407
10,2006-03-12 00:00:00,6.2592592593
10,2006-03-13 00:00:00,6
10,2006-03-14 00:00:00,6
10,2006-03-15 00:00:00,6
10,2006-03-16 00:00:00,6
10,2006-03-17 00:00:00,5
10,2006-03-18 00:00:00,5
10,2006-03-19 00:00:00,5
10,2006-03-20 00:00:00,5
10,2006-03-21 00:00:00,5
10,2006-03-22 00:00:00,5
10,2006-03-23 00:00:00,5
10,2006-03-24 00:00:00,5
10,2006-03-25 00:00:00,5
10,2006-03-26 00:00:00,5
10,2006-03-27 00:00:00,5
10,2006-03-28 00:00:00,5
10,2006-03-29 00:00:00,5
10,2006-03-30 00:00:00,5
10,2006-03-31 00:00:00,5
10,2006-04-01 00:00:00,5
10,2006-04-02 00:00:00,5
10,2006-04-03 00:00:00,5
10,2006-04-04 00:00:00,5
10,2006-04-05 00:00:00,5
10,2006-04-06 00:00:00,5
10,2006-04-07 00:00:00,5
10,2006-04-08 00:00:00,5
10,2006-04-09 00:00:00,5
10,2006-04-10 00:00:00,5
10,2006-04-11 00:00:00,5
10,2006-04-12 00:00:00,5
10,2006-04-13 00:00:00,5
10,2006-04-14 00:00:00,5
10,2006-04-15 00:00:00,5
10,2006-04-16 00:00:00,5
10,2006-04-17 00:00:00,5
10,2006-04-18 00:00:00,5
10,2006-04-19 00:00:00,5
10,2006-04-20 00:00:00,5
10,2006-04-21 00:00:00,5
10,2006-04-22 00:00:00,5
10,2006-04-23 00:00:00,5
10,2006-04-24 00:00:00,5
10,2006-04-25 00:00:00,5
10,2006-04-26 00:00:00,5
10,2006-04-27 00:00:00,5
10,2006-04-28 00:00:00,5
10,2006-04-29 00:00:00,5
10,2006-04-30 00:00:00,5
10,2006-05-01 00:00:00,5
10,2006-05-02 00:00:00,5
10,2006-05-03 00:00:00,5
10,2006-05-04 00:00:00,5
10,2006-05-05 00:00:00,5
10,2006-05-06 00:00:00,5
10,2006-05-07 00:00:00,5
10,2006-05-08 00:00:00,5
10,2006-05-09 00:00:00,5
10,2006-05-10 00:00:00,5
10,2006-05-11 00:00:00,5
10,2006-05-12 00:00:00,5
10,2006-05-13 00:00:00,5
10,2006-05-14 00:00:00,5
10,2006-05-15 00:00:00,5
