2006-07-03,110,450,1.9368998628
2006-07-04,120,450,1.9828532236
2006-07-05,110,350,2
2006-07-06,120,450,1
2006-07-07,100,430,1.5
2006-07-08,120,495,3
2006-07-09,110,560,3
2006-07-10,115,450,3
2006-07-11,85,430,2.5833333333
2006-07-12,120,430.160548697,2
2006-07-13,110,430.632537723,1.7395833333
2006-07-14,125,431.401481481,1.5
2006-07-15,110,432.452894376,1.0770833333
2006-07-16,125,433.772290809,0.8
2006-07-17,140,435.345185185,1.8
2006-07-18,130,437.157091907,2.1
2006-07-19,105,439.193525377,1.9982142857
2006-07-20,110,441.44,1.8
2006-07-21,100,443.882030178,1.5
2006-07-22,145,446.505130316,2
2006-07-23,145,449.294814815,0.5
2006-07-24,140,452.23659808,1.7
2006-07-25,135,455.315994513,1.2
2006-07-26,125.965909091,458.518518519,1.8
2006-07-27,120,461.829684499,1
2006-07-28,125,465.235006859,1
2006-07-29,120,468.72,1.8
2006-07-30,125,472.270178326,2
2006-07-31,120,475.871056241,1.2
2006-08-01,120,479.508148148,1.4
2006-08-02,120,483.16696845,1
2006-08-03,120,486.83303155,1.2
2006-08-04,120,490.491851852,1.5
2006-08-05,120,494.128943759,1.35
2006-08-06,120,497.729821674,1.2
2006-08-07,120,501.28,1.5
2006-08-08,120,504.764993141,2
2006-08-09,120,508.170315501,1
2006-08-10,120,511.481481481,1
2006-08-11,119.828532236,514.684005487,1.2
2006-08-12,119.368998628,517.76340192,1.5
2006-08-13,118.703703704,520.705185185,2.5
2006-08-14,117.914951989,523.494869684,1.8
2006-08-15,117.085048011,526.117969822,1
2006-08-16,116.296296296,528.56,1.2592592593
2006-08-17,115.631001372,530.806474623,1.7407407407
2006-08-18,115.171467764,532.842908093,2
2006-08-19,115,534.654814815,1
2006-08-20,125,536.227709191,1.8
2006-08-21,125,537.547105624,2
2006-08-22,112,538.598518519,1.8
2006-08-23,105,539.367462277,1.2
2006-08-24,120,539.839451303,2.5
2006-08-25,115,540,2
2006-08-26,120,450,1.2
2006-08-27,120,450,1
2006-08-28,100,450,1.1696428571
2006-08-29,100,450,1.5
2006-08-30,110,450,2
2006-08-31,115,450,1.7875
2006-09-01,90,450.524563758,1.5
2006-09-02,120,451.973691275,1.4
2006-09-03,125,454.160536913,1.2
2006-09-04,130,456.898255034,1.2
2006-09-05,125,460,1.15
2006-09-06,140,540,1.1
2006-09-07,130,460,1.5
2006-09-08,123,450,1.6423529412
2006-09-09,140,452.592592593,1.7776470588
2006-09-10,80,457.407407407,1.8917647059
2006-09-11,130,460,1.9705882353
2006-09-12,135,450,2
2006-09-13,125,440,1.9556851312
2006-09-14,125,440.027033153,1.8413994169
2006-09-15,124.21875,440.107777462,1.6851311953
2006-09-16,122.5,440.241700208,1.5148688047
2006-09-17,120.78125,440.428268667,1.3586005831
2006-09-18,120,440.666950117,1.2443148688
2006-09-19,120,440.957211837,1.2
2006-09-20,140,441.298521106,1.2
2006-09-21,120,441.6903452,1.2
2006-09-22,120,442.132151398,1.2
2006-09-23,130,442.623406979,1.2
2006-09-24,140,443.16357922,1.2
2006-09-25,120,443.7521354,1.2
2006-09-26,120,444.388542796,1.2
2006-09-27,125,445.072268687,1.2
2006-09-28,120,445.802780351,1.2
2006-09-29,124,446.579545066,1.2
2006-09-30,124.483088762,447.402030111,1.2021593344
2006-10-01,125,448.269702762,1.2084592481
2006-10-02,150,449.182030299,1.2186326071
2006-10-03,140,450.13848,1.232412277
2006-10-04,120,451.138519142,1.2495311239
2006-10-05,140,452.181615004,1.2697220135
2006-10-06,140,453.267234864,1.2927178117
2006-10-07,140,454.394846001,1.3182513844
2006-10-08,140,455.563915691,1.3460555973
2006-10-09,140,456.773911213,1.3758633164
2006-10-10,140,458.024299847,1.4074074074
2006-10-11,140,459.314548868,1.4404207363
2006-10-12,140,460.644125557,1.4746361689
2006-10-13,150,462.01249719,1.5097865709
2006-10-14,140,463.419131046,1.5456048084
2006-10-15,100,464.863494403,1.5818237471
2006-10-16,140,466.34505454,1.6181762529
2006-10-17,140,467.863278734,1.6543951916
2006-10-18,140,469.417634263,1.6902134291
2006-10-19,150,471.007588406,1.7253638312
2006-10-20,140,472.63260844,1.7595792637
2006-10-21,120,474.292161645,1.7925925926
2006-10-22,140,475.985715297,1.8241366836
2006-10-23,120,477.712736676,1.8539444027
2006-10-24,120,479.472693058,1.8817486156
2006-10-25,100,481.265051723,1.9072821883
2006-10-26,140,483.089279949,1.9302779865
2006-10-27,120,484.944845013,1.9504688761
2006-10-28,150,486.831214194,1.967587723
2006-10-29,135,488.74785477,1.9813673929
2006-10-30,120,490.694234018,1.9915407519
2006-10-31,140,492.669819218,1.9978406656
2006-11-01,120,494.674077647,2
2006-11-02,140,496.706476584,1
2006-11-03,140,498.766483305,1.5
2006-11-04,120,500.853565091,1.7044354839
2006-11-05,120,502.967189218,1.8
2006-11-06,120,505.106822965,1.2
2006-11-07,120,507.271933611,1.0602941177
2006-11-08,140,509.461988432,1
2006-11-09,120,511.676454707,1
2006-11-10,120,513.914799715,2
2006-11-11,150,516.176490734,1.4
2006-11-12,140,518.460995041,1.6
2006-11-13,140,520.767779915,1.5481481482
2006-11-14,120,523.096312633,1.4518518519
2006-11-15,125,525.446060475,1.4
2006-11-16,150,527.816490718,1.4259259259
2006-11-17,135,530.20707064,1.4740740741
2006-11-18,120,532.617267519,1.5
2006-11-19,120,535.046548634,1.4833819242
2006-11-20,135,537.494381263,1.4405247813
2006-11-21,150,539.960232684,1.3819241983
2006-11-22,140,542.443570174,1.3180758018
2006-11-23,120,544.943861012,1.2594752187
2006-11-24,140,547.460572477,1.2166180758
2006-11-25,150,549.993171846,1.2
2006-11-26,154,552.541126397,1.6
2006-11-27,150,555.103903408,1.8
2006-11-28,160,557.680970159,1.6326086957
2006-11-29,140,560.271793926,1.4
2006-11-30,100,562.875841988,1.2642512077
2006-12-01,140,565.492581623,1.1487922705
2006-12-02,125,568.12148011,1.1
2006-12-03,140,570.762004725,1.6
2006-12-04,150,573.413622748,0.7
2006-12-05,100,576.075801457,1.2
2006-12-06,140,578.748008129,1
2006-12-07,130,581.429710043,1.25
2006-12-08,140,584.120374477,1.5
2006-12-09,120,586.819468709,1.2
2006-12-10,140,589.526460017,1.3555555556
2006-12-11,140,592.24081568,1.6444444444
