start	end
06/02/2007	28/02/2007
21/08/2007	03/12/2007
27/11/2008	31/03/2009
06/10/2009	17/11/2009
10/02/2010	20/02/2010
08/03/2010	09/03/2010
16/09/2010	20/09/2010
22/02/2011	08/03/2011
16/08/2011	12/12/2011
26/10/2012	03/12/2012
24/12/2012	02/01/2013
05/03/2013	26/06/2013
12/02/2014	09/05/2014
