,0,1
2006-05-27,2.81235893259,2.6
2006-05-28,2.80736220264,2.18994079716
2006-05-29,2.80245794014,2.03408150969
2006-05-30,2.79764771016,1.8
2006-05-31,2.79293307778,0.8
2006-06-01,2.78831560806,141.3976
2006-06-02,2.78379686609,476.6688
2006-06-03,2.77937841693,876.8312
2006-06-04,2.77506182567,1212.1024
2006-06-05,2.77084865737,1352.7
2006-06-06,2.76674047711,1350.36346523
2006-06-07,2.76273884996,1343.78638071
2006-06-08,2.758845341,1333.61752609
2006-06-09,2.7550615153,1320.50568104
2006-06-10,2.75138893793,1305.09962524
2006-06-11,2.74782917398,1288.04813833
2006-06-12,2.7443837885,1270.0
2006-06-13,2.74105434659,1043.1
2006-06-14,2.7378424133,0.6
2006-06-15,2.73474955372,0.66713708053
2006-06-16,2.73177733292,0.853411241591
2006-06-17,2.72892731597,1.13611686239
2006-06-18,2.72620106795,1.49254832212
2006-06-19,2.72360015392,1.9
2006-06-20,2.72112613898,1150.1
2006-06-21,2.71878058818,1191.77613338
2006-06-22,2.7165650666,1224.0
2006-06-23,2.71448113932,1290.0
2006-06-24,2.71253037142,1253.8884
2006-06-25,2.71071432795,1155.8712
2006-06-26,2.70903457401,1011.4248
2006-06-27,2.70749267466,836.0256
2006-06-28,2.70609019497,645.15
2006-06-29,2.70482870002,454.2744
2006-06-30,2.70370975489,278.8752
2006-07-01,2.70273492465,134.4288
2006-07-02,2.70190577437,36.4116
2006-07-03,2.70122386913,0.3
2006-07-04,2.700690774,0.311331668704
2006-07-05,2.70030805405,0.343981828118
2006-07-06,2.70007727436,0.395933208196
2006-07-07,2.7,0.465168538892
2006-07-08,2.70432930957,0.549670550158
2006-07-09,2.71662906137,0.647421971949
2006-07-10,2.73586699007,0.756405534217
2006-07-11,2.76101083032,0.874603966916
2006-07-12,2.79102831679,1.0
2006-07-13,2.82488718412,594.932080602
2006-07-14,2.86155516697,1188.8
2006-07-15,2.9,0.3
2006-07-16,3.7,936.0
2006-07-17,3.492,979.73344722
2006-07-18,2.996,996.8
2006-07-19,2.404,988.080416464
2006-07-20,1.908,965.739554907
2006-07-21,1.7,935.504248906
2006-07-22,1.71511948529,903.101332037
2006-07-23,1.75698529412,874.257637876
2006-07-24,1.82035845588,854.7
2006-07-25,1.9,841.515040344
2006-07-26,2.09025882353,828.0733564
2006-07-27,2.41954117647,814.527745076
2006-07-28,2.78369411765,801.031003281
2006-07-29,3.07856470588,787.735927926
2006-07-30,3.2,774.795315918
2006-07-31,1.5,762.361964168
2006-08-01,1.73333333333,750.588669583
2006-08-02,2.2,739.628229075
2006-08-03,3.0,729.633439551
2006-08-04,2.3,720.757097921
