start	end
08/02/2007	13/02/2007
24/08/2007	26/09/2007
15/10/2007	16/10/2007
02/11/2007	22/11/2007
15/11/2008	04/02/2009
28/02/2009	08/03/2009
06/10/2009	17/10/2009
11/11/2009	17/11/2009
28/11/2009	04/12/2009
28/12/2009	18/01/2010
02/03/2010	08/03/2010
16/09/2010	17/09/2010
13/02/2011	06/03/2011
14/07/2011	15/07/2011
07/08/2011	08/09/2011
25/10/2011	29/10/2011
21/11/2011	08/12/2011
28/10/2012	14/01/2013
09/04/2013	18/06/2013
19/01/2014	05/06/2014
